"participant" "language" "item" "repetition" "vot"
"monoSp00" "spanish" "da" 1 -75.8
"monoSp00" "spanish" "da" 2 -81.11
"monoSp00" "spanish" "da" 3 -56.46
"monoSp00" "spanish" "de" 1 -55.57
"monoSp00" "spanish" "de" 2 -62.94
"monoSp00" "spanish" "de" 3 -43.66
"monoSp00" "spanish" "di" 1 -53.99
"monoSp00" "spanish" "di" 2 -72.44
"monoSp00" "spanish" "di" 3 -58.53
"monoSp00" "spanish" "te" 1 18.64
"monoSp00" "spanish" "te" 2 9.36
"monoSp00" "spanish" "te" 3 18.02
"monoSp00" "spanish" "ti" 1 -3.57
"monoSp00" "spanish" "ti" 2 14.72
"monoSp00" "spanish" "ti" 3 11.35
"monoSp00" "spanish" "tu" 1 13.1
"monoSp00" "spanish" "tu" 2 -1.05
"monoSp00" "spanish" "tu" 3 14.22
"monoSp01" "spanish" "da" 1 -79.78
"monoSp01" "spanish" "da" 2 -45.13
"monoSp01" "spanish" "da" 3 -60.75
"monoSp01" "spanish" "de" 1 -45.63
"monoSp01" "spanish" "de" 2 -59.5
"monoSp01" "spanish" "de" 3 -56.64
"monoSp01" "spanish" "di" 1 -43.04
"monoSp01" "spanish" "di" 2 -71.45
"monoSp01" "spanish" "di" 3 -71.08
"monoSp01" "spanish" "te" 1 7.66
"monoSp01" "spanish" "te" 2 13.06
"monoSp01" "spanish" "te" 3 23.24
"monoSp01" "spanish" "ti" 1 0.57
"monoSp01" "spanish" "ti" 2 17.12
"monoSp01" "spanish" "ti" 3 8.19
"monoSp01" "spanish" "tu" 1 8.41
"monoSp01" "spanish" "tu" 2 0.5
"monoSp01" "spanish" "tu" 3 7.79
"monoSp02" "spanish" "da" 1 -56.94
"monoSp02" "spanish" "da" 2 -62.77
"monoSp02" "spanish" "da" 3 -73.32
"monoSp02" "spanish" "de" 1 -70.49
"monoSp02" "spanish" "de" 2 -61.41
"monoSp02" "spanish" "de" 3 -66.53
"monoSp02" "spanish" "di" 1 -55.16
"monoSp02" "spanish" "di" 2 -58.13
"monoSp02" "spanish" "di" 3 -34.6
"monoSp02" "spanish" "te" 1 25.87
"monoSp02" "spanish" "te" 2 6.34
