caseid,weight,sample,int_date,lang,cregion,state,usr,density,form,q1,q2a,q2b,q2c,q2e,q2f,q2gf1,q2hf2,q3,q4,q5a,q5b,q5c,q6,q7,q8,q9f1,q9f1_code1,q9f1_code2,q9f1_code3,q12a,q12b,q13,q16,q17,q18,q20f1,q21af2,q21bf2,q21cf2,q23,q24a,q24b,q24c,q24d,q24e,q24f,q25,q27,q28,q29,q30,q32,q33,q34,q35,q37,q38,q39,q40,q41,knosct14,knosct15,knosct16,knosct17,knosct18,knosct19,knosct_count,sexz,agerec,educ2,scideg,hisp,racecmb,race3m1,race3m2,race3m3,race3m4,racethn,birth_hisp,usborn,marital,parent,citizen,relig,chr,born,attend,income,reg,party,partyln,ideo,hh1,hh3,eminuse,intmob,ql1,ql1a,qc1
100003.0,3.2857142857142856,1.0,81514.0,1.0,3.0,37.0,U,3.0,2.0,2.0,3.0,3.0,3.0,3.0,4.0,,3.0,2.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,,,,,2.0,2.0,2.0,9.0,,2.0,,2.0,,1.0,9.0,9.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,2.0,3.0,1.0,2.0,1.0,3.0,2.0,4.0,5.0,2.0,65.0,6.0,1.0,2.0,1.0,1.0,,,,1.0,,1.0,5.0,2.0,,1.0,,1.0,3.0,10.0,1.0,3.0,1.0,2.0,9.0,9.0,1.0,1.0,1.0,,
100004.0,3.2142857142857144,1.0,81814.0,1.0,3.0,51.0,U,5.0,1.0,2.0,3.0,3.0,3.0,4.0,2.0,4.0,,1.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,,,,,1.0,1.0,1.0,1.0,1.0,1.0,2.0,,,,1.0,1.0,2.0,2.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,2.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0,4.0,2.0,24.0,8.0,2.0,2.0,1.0,1.0,,,,1.0,,1.0,1.0,1.0,,5.0,,,4.0,8.0,1.0,2.0,,5.0,5.0,2.0,1.0,1.0,1.0,,
100014.0,1.8571428571428572,1.0,81514.0,1.0,1.0,36.0,U,5.0,1.0,2.0,4.0,2.0,4.0,4.0,4.0,4.0,,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,9.0,99.0,,,1.0,1.0,1.0,2.0,,2.0,3.0,,,,2.0,1.0,9.0,1.0,1.0,9.0,1.0,1.0,1.0,2.0,2.0,1.0,1.0,2.0,9.0,1.0,2.0,1.0,2.0,1.0,3.0,1.0,8.0,1.0,3.0,1.0,8.0,3.0,2.0,99.0,4.0,,2.0,1.0,1.0,,,,1.0,,1.0,6.0,2.0,,2.0,,2.0,2.0,6.0,1.0,1.0,,2.0,1.0,,1.0,2.0,1.0,,
100020.0,3.5,1.0,81914.0,1.0,1.0,9.0,S,4.0,2.0,2.0,1.0,2.0,3.0,2.0,2.0,,3.0,2.0,1.0,2.0,1.0,2.0,1.0,2.0,2.0,,,,,1.0,1.0,2.0,1.0,9.0,2.0,,2.0,,1.0,2.0,2.0,1.0,2.0,2.0,2.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,2.0,1.0,2.0,2.0,1.0,2.0,1.0,3.0,1.0,1.0,1.0,3.0,2.0,4.0,4.0,2.0,45.0,8.0,2.0,2.0,1.0,1.0,,,,1.0,,1.0,1.0,1.0,,2.0,,2.0,1.0,8.0,1.0,9.0,1.0,2.0,3.0,2.0,1.0,1.0,1.0,,
100022.0,3.642857142857143,1.0,81814.0,1.0,2.0,39.0,S,5.0,1.0,2.0,3.0,2.0,3.0,3.0,3.0,4.0,,1.0,2.0,2.0,2.0,2.0,1.0,2.0,2.0,,,,,2.0,2.0,2.0,1.0,2.0,2.0,3.0,,,,2.0,1.0,2.0,2.0,2.0,2.0,1.0,2.0,1.0,2.0,1.0,1.0,1.0,2.0,1.0,2.0,2.0,9.0,1.0,1.0,3.0,2.0,1.0,1.0,3.0,2.0,1.0,4.0,1.0,21.0,3.0,,2.0,1.0,1.0,,,,1.0,,1.0,6.0,2.0,,2.0,,2.0,6.0,2.0,1.0,1.0,,3.0,2.0,2.0,1.0,1.0,1.0,,
100030.0,2.357142857142857,1.0,81514.0,1.0,3.0,37.0,R,2.0,1.0,2.0,2.0,1.0,2.0,4.0,1.0,2.0,,3.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,,,,,1.0,1.0,2.0,1.0,1.0,1.0,1.0,,,,2.0,1.0,1.0,2.0,2.0,1.0,2.0,2.0,1.0,1.0,2.0,2.0,1.0,1.0,2.0,1.0,4.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,2.0,2.0,1.0,4.0,1.0,79.0,3.0,,2.0,1.0,1.0,,,,1.0,,1.0,5.0,2.0,,1.0,,2.0,5.0,3.0,1.0,1.0,,2.0,1.0,,2.0,2.0,1.0,,
100036.0,3.0714285714285716,1.0,81514.0,1.0,3.0,12.0,S,4.0,1.0,2.0,2.0,2.0,3.0,4.0,4.0,4.0,,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,35.0,,,1.0,1.0,1.0,1.0,1.0,1.0,3.0,,,,2.0,2.0,1.0,2.0,1.0,1.0,1.0,2.0,1.0,2.0,1.0,2.0,1.0,2.0,1.0,2.0,4.0,1.0,1.0,2.0,3.0,1.0,2.0,1.0,3.0,2.0,1.0,6.0,1.0,62.0,6.0,2.0,2.0,1.0,1.0,,,,1.0,,1.0,1.0,2.0,,9.0,,,6.0,10.0,1.0,3.0,2.0,3.0,2.0,2.0,1.0,1.0,1.0,,
100037.0,16.071428571428573,1.0,81514.0,1.0,1.0,42.0,S,1.0,1.0,2.0,2.0,2.0,3.0,3.0,3.0,2.0,,2.0,1.0,2.0,1.0,1.0,2.0,1.0,2.0,,,,,1.0,1.0,1.0,1.0,2.0,1.0,2.0,,,,1.0,2.0,1.0,2.0,1.0,2.0,1.0,2.0,2.0,2.0,1.0,2.0,1.0,2.0,2.0,2.0,1.0,2.0,2.0,1.0,3.0,1.0,2.0,1.0,3.0,2.0,1.0,6.0,2.0,49.0,6.0,2.0,2.0,1.0,1.0,,,,1.0,,1.0,3.0,1.0,,1.0,,2.0,2.0,4.0,1.0,1.0,,3.0,3.0,1.0,1.0,1.0,1.0,,
100041.0,1.7857142857142858,1.0,81514.0,1.0,3.0,45.0,S,1.0,2.0,2.0,4.0,2.0,4.0,3.0,3.0,,3.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,1.0,1.0,1.0,2.0,,2.0,,1.0,1.0,,1.0,1.0,2.0,2.0,1.0,1.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,3.0,1.0,1.0,2.0,3.0,2.0,2.0,3.0,2.0,58.0,6.0,2.0,2.0,1.0,1.0,,,,1.0,,1.0,1.0,2.0,,1.0,,1.0,2.0,6.0,1.0,3.0,9.0,3.0,3.0,3.0,1.0,2.0,1.0,,
100048.0,16.285714285714285,1.0,81514.0,1.0,1.0,36.0,S,5.0,2.0,2.0,3.0,1.0,4.0,2.0,3.0,,4.0,3.0,2.0,1.0,2.0,2.0,2.0,1.0,2.0,,,,,1.0,2.0,2.0,2.0,,2.0,,2.0,,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,2.0,1.0,1.0,2.0,2.0,2.0,1.0,4.0,1.0,2.0,2.0,3.0,3.0,2.0,3.0,3.0,2.0,3.0,3.0,2.0,74.0,3.0,,2.0,1.0,1.0,,,,1.0,,1.0,5.0,2.0,,2.0,,2.0,1.0,3.0,1.0,1.0,,9.0,1.0,,2.0,2.0,2.0,,
