cohort,prob,percentile,gender
1940.0,0.909,1,f
1941.0,0.877,1,f
1942.0,0.885,1,f
1943.0,0.877,1,f
1944.0,0.901,1,f
1945.0,0.868,1,f
1946.0,0.88,1,f
1947.0,0.879,1,f
1948.0,0.871,1,f
1949.0,0.863,1,f
1950.0,0.891,1,f
1951.0,0.864,1,f
1952.0,0.857,1,f
1953.0,0.87,1,f
1954.0,0.821,1,f
1955.0,0.862,1,f
1956.0,0.831,1,f
1957.0,0.841,1,f
1958.0,0.835,1,f
1959.0,0.808,1,f
1960.0,0.843,1,f
1961.0,0.799,1,f
1962.0,0.774,1,f
1963.0,0.826,1,f
1964.0,0.799,1,f
1965.0,0.856,1,f
1966.0,0.789,1,f
1967.0,0.856,1,f
1968.0,0.871,1,f
1969.0,0.874,1,f
1970.0,0.904,1,f
1971.0,0.855,1,f
1972.0,0.86,1,f
1973.0,0.831,1,f
1974.0,0.863,1,f
1975.0,0.876,1,f
1976.0,0.832,1,f
1977.0,0.806,1,f
1978.0,0.827,1,f
1979.0,0.809,1,f
1980.0,0.805,1,f
1981.0,0.802,1,f
1982.0,0.812,1,f
1983.0,0.772,1,f
1984.0,0.804,1,f
1940.0,0.916,2,f
1941.0,0.891,2,f
1942.0,0.897,2,f
1943.0,0.881,2,f
1944.0,0.911,2,f
1945.0,0.883,2,f
1946.0,0.891,2,f
1947.0,0.889,2,f
1948.0,0.877,2,f
1949.0,0.861,2,f
1950.0,0.873,2,f
1951.0,0.866,2,f
1952.0,0.831,2,f
1953.0,0.864,2,f
1954.0,0.817,2,f
1955.0,0.842,2,f
1956.0,0.815,2,f
1957.0,0.818,2,f
1958.0,0.816,2,f
1959.0,0.801,2,f
1960.0,0.816,2,f
1961.0,0.788,2,f
1962.0,0.771,2,f
1963.0,0.82,2,f
1964.0,0.787,2,f
1965.0,0.841,2,f
1966.0,0.784,2,f
1967.0,0.844,2,f
1968.0,0.855,2,f
1969.0,0.862,2,f
1970.0,0.887,2,f
1971.0,0.852,2,f
1972.0,0.855,2,f
1973.0,0.833,2,f
1974.0,0.861,2,f
1975.0,0.871,2,f
1976.0,0.835,2,f
1977.0,0.808,2,f
1978.0,0.82,2,f
1979.0,0.81,2,f
1980.0,0.805,2,f
1981.0,0.806,2,f
1982.0,0.816,2,f
1983.0,0.779,2,f
1984.0,0.808,2,f
1940.0,0.911,3,f
1941.0,0.892,3,f
1942.0,0.899,3,f
1943.0,0.88,3,f
1944.0,0.913,3,f
1945.0,0.885,3,f
1946.0,0.891,3,f
1947.0,0.89,3,f
1948.0,0.878,3,f
1949.0,0.859,3,f
1950.0,0.872,3,f
1951.0,0.864,3,f
1952.0,0.827,3,f
1953.0,0.856,3,f
1954.0,0.822,3,f
1955.0,0.841,3,f
1956.0,0.816,3,f
1957.0,0.815,3,f
1958.0,0.812,3,f
1959.0,0.801,3,f
1960.0,0.811,3,f
1961.0,0.785,3,f
1962.0,0.773,3,f
1963.0,0.814,3,f
1964.0,0.775,3,f
1965.0,0.83,3,f
1966.0,0.785,3,f
1967.0,0.828,3,f
1968.0,0.849,3,f
1969.0,0.844,3,f
1970.0,0.877,3,f
1971.0,0.849,3,f
1972.0,0.848,3,f
1973.0,0.836,3,f
1974.0,0.857,3,f
1975.0,0.867,3,f
1976.0,0.83,3,f
1977.0,0.808,3,f
1978.0,0.812,3,f
1979.0,0.806,3,f
1980.0,0.799,3,f
1981.0,0.807,3,f
1982.0,0.815,3,f
1983.0,0.776,3,f
1984.0,0.795,3,f
1940.0,0.907,4,f
1941.0,0.89,4,f
1942.0,0.897,4,f
1943.0,0.876,4,f
