cohort,prob,percentile,gender
1940.0,0.226,1,f
1941.0,0.235,1,f
1942.0,0.211,1,f
1943.0,0.217,1,f
1944.0,0.278,1,f
1945.0,0.304,1,f
1946.0,0.296,1,f
1947.0,0.327,1,f
1948.0,0.345,1,f
1949.0,0.375,1,f
1950.0,0.491,1,f
1951.0,0.432,1,f
1952.0,0.449,1,f
1953.0,0.488,1,f
1954.0,0.449,1,f
1955.0,0.454,1,f
1956.0,0.472,1,f
1957.0,0.493,1,f
1958.0,0.499,1,f
1959.0,0.492,1,f
1960.0,0.462,1,f
1961.0,0.524,1,f
1962.0,0.526,1,f
1963.0,0.536,1,f
1964.0,0.51,1,f
1965.0,0.578,1,f
1966.0,0.548,1,f
1967.0,0.589,1,f
1968.0,0.655,1,f
1969.0,0.612,1,f
1970.0,0.682,1,f
1971.0,0.675,1,f
1972.0,0.608,1,f
1973.0,0.585,1,f
1974.0,0.626,1,f
1975.0,0.604,1,f
1976.0,0.596,1,f
1977.0,0.609,1,f
1978.0,0.629,1,f
1979.0,0.604,1,f
1980.0,0.619,1,f
1981.0,0.62,1,f
1982.0,0.645,1,f
1983.0,0.579,1,f
1984.0,0.643,1,f
1940.0,0.231,2,f
1941.0,0.228,2,f
1942.0,0.218,2,f
1943.0,0.223,2,f
1944.0,0.272,2,f
1945.0,0.303,2,f
1946.0,0.3,2,f
1947.0,0.334,2,f
1948.0,0.347,2,f
1949.0,0.377,2,f
1950.0,0.448,2,f
1951.0,0.41,2,f
1952.0,0.407,2,f
1953.0,0.465,2,f
1954.0,0.415,2,f
1955.0,0.421,2,f
1956.0,0.44,2,f
1957.0,0.45,2,f
1958.0,0.464,2,f
1959.0,0.425,2,f
1960.0,0.43,2,f
1961.0,0.472,2,f
1962.0,0.478,2,f
1963.0,0.478,2,f
1964.0,0.458,2,f
1965.0,0.528,2,f
1966.0,0.488,2,f
1967.0,0.532,2,f
1968.0,0.596,2,f
1969.0,0.569,2,f
1970.0,0.622,2,f
1971.0,0.626,2,f
1972.0,0.587,2,f
1973.0,0.555,2,f
1974.0,0.602,2,f
1975.0,0.568,2,f
1976.0,0.578,2,f
1977.0,0.584,2,f
1978.0,0.587,2,f
1979.0,0.579,2,f
1980.0,0.581,2,f
1981.0,0.595,2,f
1982.0,0.613,2,f
1983.0,0.541,2,f
1984.0,0.609,2,f
1940.0,0.223,3,f
1941.0,0.224,3,f
1942.0,0.217,3,f
1943.0,0.226,3,f
1944.0,0.272,3,f
1945.0,0.308,3,f
1946.0,0.298,3,f
1947.0,0.338,3,f
1948.0,0.341,3,f
1949.0,0.374,3,f
1950.0,0.444,3,f
1951.0,0.4,3,f
1952.0,0.402,3,f
1953.0,0.436,3,f
1954.0,0.41,3,f
1955.0,0.405,3,f
1956.0,0.423,3,f
1957.0,0.439,3,f
1958.0,0.433,3,f
1959.0,0.41,3,f
1960.0,0.41,3,f
1961.0,0.448,3,f
1962.0,0.454,3,f
1963.0,0.449,3,f
1964.0,0.427,3,f
1965.0,0.511,3,f
1966.0,0.46,3,f
1967.0,0.489,3,f
1968.0,0.557,3,f
1969.0,0.526,3,f
1970.0,0.591,3,f
1971.0,0.597,3,f
1972.0,0.557,3,f
1973.0,0.535,3,f
1974.0,0.569,3,f
1975.0,0.537,3,f
1976.0,0.558,3,f
1977.0,0.574,3,f
1978.0,0.557,3,f
1979.0,0.549,3,f
1980.0,0.547,3,f
1981.0,0.588,3,f
1982.0,0.598,3,f
1983.0,0.514,3,f
1984.0,0.566,3,f
1940.0,0.226,4,f
1941.0,0.221,4,f
1942.0,0.218,4,f
1943.0,0.224,4,f
1944.0,0.279,4,f
1945.0,0.307,4,f
1946.0,0.301,4,f
1947.0,0.344,4,f
1948.0,0.347,4,f
1949.0,0.363,4,f
1950.0,0.448,4,f
1951.0,0.401,4,f
1952.0,0.405,4,f
1953.0,0.419,4,f
1954.0,0.407,4,f
1955.0,0.405,4,f
1956.0,0.417,4,f
1957.0,0.43,4,f
1958.0,0.418,4,f
1959.0,0.391,4,f
1960.0,0.4,4,f
1961.0,0.437,4,f
1962.0,0.444,4,f
1963.0,0.438,4,f
1964.0,0.418,4,f
1965.0,0.499,4,f
1966.0,0.442,4,f
1967.0,0.465,4,f
1968.0,0.525,4,f
1969.0,0.491,4,f
1970.0,0.573,4,f
1971.0,0.574,4,f
1972.0,0.525,4,f
1973.0,0.508,4,f
1974.0,0.553,4,f
1975.0,0.502,4,f
1976.0,0.541,4,f
1977.0,0.566,4,f
1978.0,0.541,4,f
1979.0,0.526,4,f
1980.0,0.54,4,f
1981.0,0.557,4,f
1982.0,0.57,4,f
1983.0,0.496,4,f
1984.0,0.536,4,f
1940.0,0.225,5,f
1941.0,0.223,5,f
1942.0,0.22,5,f
1943.0,0.223,5,f
1944.0,0.279,5,f
1945.0,0.307,5,f
1946.0,0.303,5,f
1947.0,0.338,5,f
1948.0,0.352,5,f
1949.0,0.364,5,f
1950.0,0.434,5,f
1951.0,0.397,5,f
1952.0,0.408,5,f
1953.0,0.415,5,f
1954.0,0.393,5,f
1955.0,0.4,5,f
1956.0,0.398,5,f
1957.0,0.416,5,f
1958.0,0.41,5,f
1959.0,0.378,5,f
1960.0,0.386,5,f
1961.0,0.423,5,f
1962.0,0.432,5,f
1963.0,0.423,5,f
1964.0,0.395,5,f
1965.0,0.476,5,f
1966.0,0.401,5,f
1967.0,0.421,5,f
1968.0,0.499,5,f
1969.0,0.464,5,f
1970.0,0.55,5,f
1971.0,0.552,5,f
1972.0,0.506,5,f
1973.0,0.491,5,f
1974.0,0.525,5,f
1975.0,0.472,5,f
1976.0,0.501,5,f
1977.0,0.539,5,f
1978.0,0.516,5,f
1979.0,0.478,5,f
1980.0,0.508,5,f
1981.0,0.534,5,f
1982.0,0.55,5,f
1983.0,0.489,5,f
1984.0,0.514,5,f
1940.0,0.224,6,f
1941.0,0.22,6,f
1942.0,0.219,6,f
1943.0,0.221,6,f
1944.0,0.277,6,f
1945.0,0.303,6,f
1946.0,0.305,6,f
1947.0,0.342,6,f
1948.0,0.354,6,f
1949.0,0.362,6,f
1950.0,0.429,6,f
1951.0,0.393,6,f
1952.0,0.401,6,f
1953.0,0.406,6,f
1954.0,0.386,6,f
1955.0,0.386,6,f
1956.0,0.39,6,f
1957.0,0.406,6,f
1958.0,0.407,6,f
1959.0,0.358,6,f
1960.0,0.362,6,f
1961.0,0.407,6,f
1962.0,0.406,6,f
1963.0,0.406,6,f
1964.0,0.389,6,f
1965.0,0.455,6,f
1966.0,0.382,6,f
1967.0,0.397,6,f
1968.0,0.481,6,f
1969.0,0.442,6,f
1970.0,0.512,6,f
1971.0,0.529,6,f
1972.0,0.481,6,f
1973.0,0.471,6,f
1974.0,0.498,6,f
1975.0,0.453,6,f
1976.0,0.479,6,f
1977.0,0.519,6,f
1978.0,0.476,6,f
1979.0,0.455,6,f
1980.0,0.476,6,f
1981.0,0.501,6,f
1982.0,0.515,6,f
1983.0,0.477,6,f
1984.0,0.494,6,f
1940.0,0.228,7,f
1941.0,0.227,7,f
1942.0,0.226,7,f
1943.0,0.226,7,f
1944.0,0.279,7,f
1945.0,0.306,7,f
1946.0,0.31,7,f
1947.0,0.344,7,f
1948.0,0.352,7,f
1949.0,0.357,7,f
1950.0,0.428,7,f
1951.0,0.393,7,f
1952.0,0.401,7,f
1953.0,0.394,7,f
1954.0,0.376,7,f
1955.0,0.385,7,f
1956.0,0.376,7,f
1957.0,0.401,7,f
1958.0,0.394,7,f
1959.0,0.353,7,f
1960.0,0.342,7,f
1961.0,0.391,7,f
1962.0,0.39,7,f
1963.0,0.395,7,f
1964.0,0.373,7,f
1965.0,0.435,7,f
1966.0,0.366,7,f
1967.0,0.38,7,f
1968.0,0.476,7,f
1969.0,0.435,7,f
1970.0,0.483,7,f
1971.0,0.505,7,f
1972.0,0.457,7,f
1973.0,0.453,7,f
1974.0,0.475,7,f
1975.0,0.43,7,f
1976.0,0.467,7,f
1977.0,0.492,7,f
1978.0,0.445,7,f
1979.0,0.431,7,f
1980.0,0.445,7,f
1981.0,0.478,7,f
1982.0,0.474,7,f
1983.0,0.454,7,f
1984.0,0.484,7,f
1940.0,0.224,8,f
1941.0,0.224,8,f
1942.0,0.224,8,f
1943.0,0.225,8,f
1944.0,0.279,8,f
1945.0,0.305,8,f
1946.0,0.311,8,f
1947.0,0.343,8,f
1948.0,0.345,8,f
1949.0,0.358,8,f
1950.0,0.423,8,f
1951.0,0.392,8,f
1952.0,0.4,8,f
1953.0,0.383,8,f
1954.0,0.372,8,f
1955.0,0.38,8,f
1956.0,0.373,8,f
1957.0,0.384,8,f
1958.0,0.387,8,f
1959.0,0.348,8,f
1960.0,0.329,8,f
1961.0,0.38,8,f
1962.0,0.377,8,f
1963.0,0.381,8,f
1964.0,0.356,8,f
1965.0,0.427,8,f
1966.0,0.347,8,f
1967.0,0.367,8,f
1968.0,0.438,8,f
1969.0,0.423,8,f
1970.0,0.453,8,f
1971.0,0.493,8,f
1972.0,0.448,8,f
1973.0,0.44,8,f
1974.0,0.454,8,f
1975.0,0.424,8,f
1976.0,0.453,8,f
1977.0,0.481,8,f
1978.0,0.435,8,f
1979.0,0.421,8,f
1980.0,0.438,8,f
1981.0,0.465,8,f
1982.0,0.458,8,f
1983.0,0.432,8,f
1984.0,0.46,8,f
1940.0,0.229,9,f
1941.0,0.22,9,f
1942.0,0.223,9,f
1943.0,0.225,9,f
1944.0,0.279,9,f
1945.0,0.307,9,f
1946.0,0.315,9,f
1947.0,0.342,9,f
1948.0,0.347,9,f
1949.0,0.358,9,f
1950.0,0.423,9,f
1951.0,0.389,9,f
1952.0,0.398,9,f
1953.0,0.381,9,f
1954.0,0.37,9,f
1955.0,0.379,9,f
1956.0,0.364,9,f
1957.0,0.382,9,f
1958.0,0.372,9,f
1959.0,0.334,9,f
1960.0,0.32,9,f
1961.0,0.358,9,f
1962.0,0.364,9,f
1963.0,0.376,9,f
1964.0,0.351,9,f
1965.0,0.419,9,f
1966.0,0.326,9,f
1967.0,0.363,9,f
1968.0,0.427,9,f
1969.0,0.403,9,f
1970.0,0.426,9,f
1971.0,0.466,9,f
1972.0,0.427,9,f
1973.0,0.423,9,f
1974.0,0.447,9,f
1975.0,0.418,9,f
1976.0,0.443,9,f
1977.0,0.448,9,f
1978.0,0.422,9,f
1979.0,0.406,9,f
1980.0,0.405,9,f
1981.0,0.441,9,f
1982.0,0.451,9,f
1983.0,0.418,9,f
1984.0,0.452,9,f
1940.0,0.227,10,f
1941.0,0.218,10,f
1942.0,0.222,10,f
1943.0,0.222,10,f
1944.0,0.277,10,f
1945.0,0.298,10,f
1946.0,0.312,10,f
1947.0,0.339,10,f
1948.0,0.341,10,f
1949.0,0.352,10,f
1950.0,0.418,10,f
1951.0,0.379,10,f
1952.0,0.391,10,f
1953.0,0.368,10,f
1954.0,0.358,10,f
1955.0,0.366,10,f
1956.0,0.355,10,f
1957.0,0.36,10,f
1958.0,0.36,10,f
1959.0,0.328,10,f
1960.0,0.301,10,f
1961.0,0.36,10,f
1962.0,0.349,10,f
1963.0,0.347,10,f
1964.0,0.33,10,f
1965.0,0.397,10,f
1966.0,0.318,10,f
1967.0,0.353,10,f
1968.0,0.397,10,f
1969.0,0.382,10,f
1970.0,0.41,10,f
1971.0,0.454,10,f
1972.0,0.414,10,f
1973.0,0.415,10,f
1974.0,0.44,10,f
1975.0,0.41,10,f
1976.0,0.43,10,f
1977.0,0.432,10,f
