czname,state,county,cz,hhinc_mean2000,mean_commutetime2000,frac_coll_plus2000,frac_coll_plus2010,foreign_share2010,med_hhinc2016,med_hhinc1990,poor_share2010,poor_share2000,poor_share1990,share_black2010,share_hisp2010,share_asian2010,share_black2000,share_white2000,share_hisp2000,share_asian2000,gsmn_math_g3_2013,rent_twobed2015,singleparent_share2010,singleparent_share1990,singleparent_share2000,traveltime15_2010,emp2000,mail_return_rate2010,ln_wage_growth_hs_grad,nonwhite_share2010,popdensity2010,popdensity2000,ann_avg_job_growth_2004_2013,job_density_2013,state_name,alpha,remark
Aberdeen,46.0,62.2,26605.0,55545.9554,16.500034799999998,0.155410372,0.182804096,0.00997982928,51414.930062365005,19582.35181705923,0.146436644,0.1539765214,0.197948542,0.00386757118,0.0113346762,0.002686534554,0.0018045766859999999,0.9793169159999999,0.00393586148,0.001475406362,3.399659525,577.657606,0.1625185254,0.1102820162,0.1530005,0.637819846,0.579689074,86.84179400000001,0.324990895,0.03555925359999999,6.75567968,6.95591084,-0.001180254996,3.5982930619999998,South Dakota ,SD ,State; counties
Brookings,46.0,63.0,26501.0,61444.583333333336,19.030018000000002,0.22551161,0.27086795,0.022854703333333334,53323.84937520863,21849.17848897254,0.12249238666666666,0.11385832166666666,0.15201019999999998,0.007062853566666667,0.016998852999999998,0.011276657800000001,0.0035535269333333334,0.9276768966666666,0.007743753333333333,0.0062187022,3.4940819333333333,564.9784433333333,0.26183213333333333,0.141164501,0.21575223333333335,0.5513683766666667,0.6609541766666667,84.01992800000001,0.07355918376666666,0.10069786633333333,19.6743074,18.43564423333333,-0.002335023766666667,10.752212300000002,South Dakota ,SD ,State; counties
Chamberlain,46.0,39.0,27009.0,45953.25466666667,17.372738,0.13508464633333334,0.173042786,0.009667601866666667,41920.23348152352,19223.31709342322,0.25439393033333335,0.32463361,0.29384753333333336,0.004162881833333333,0.014587549333333333,0.0014172938466666667,0.001962748506666667,0.55369002,0.006117284600000001,0.00339306205,3.2671574999999997,592.2208033333333,0.4377964433333333,0.26360013666666665,0.37696402333333334,0.6800177266666667,0.51864287,72.38916266666668,0.146235656,0.46431689000000004,4.2577517,4.415488466666667,0.0030077139999999994,1.8560607000000002,South Dakota ,SD ,State; counties
Eagle Butte,46.0,89.0,27602.0,39710.7165,19.4736355,0.12111052,0.12226756999999999,0.004454348625,38034.19524617997,14364.0,0.385147185,0.418611705,0.47741969,0.0047222873,0.0247737065,0.0011115899500000002,0.00036127589,0.24779907499999998,0.00935881165,0.0009709540900000001,1.90614755,552.5,0.5092156999999999,0.3198774,0.457996785,0.5865395250000001,0.46545964500000003,,-0.078450955,0.7871372699999999,1.8652200000000003,1.9390394,-0.0056784125000000005,0.6885394300000001,South Dakota ,SD ,State; counties
Gettysburg,46.0,107.0,27012.0,57012.48,15.032314000000001,0.16201118,0.19908987,0.0079831937,47991.0,20674.0,0.099830799,0.12571211,0.19044566,0.0034349507000000002,0.00729927,0.0030055819,0.0,0.98031932,0.0018566655,0.0014853324,3.3357317,446.0,0.23529412,0.094147585,0.15460527,0.71580988,0.60046512,85.800003,0.31341526,0.029626429,2.7045543,3.12725,-0.016153013,1.3389229,South Dakota ,SD ,State; counties
Huron,46.0,39.0,27007.0,55496.121,16.5349405,0.152771035,0.15398962500000002,0.0311663045,50197.72436486953,20608.81138486176,0.11971535,0.16282556,0.15560909,0.007006597035,0.0587040165,0.00298479855,0.00535367416,0.97522706,0.00619987795,0.00235952815,2.33647455,525.4678650000001,0.25576409,0.10368529349999998,0.23686045,0.62716159,0.61026943,84.8487015,0.1205086,0.0976113655,8.8788091,8.94268,-0.0047471799000000005,4.71620975,South Dakota ,SD ,State; counties
Miller,46.0,64.0,27010.0,60828.273499999996,15.708929999999999,0.15763694,0.16844159,0.0012728116799999999,53810.76085689303,19601.61468959487,0.121221665,0.10778014650000001,0.16538946999999998,0.001372223365,0.008050562050000001,0.0023679091,0.00174743615,0.9501816350000001,0.0038866125,0.0005336113400000001,3.6876727,552.5,0.19666403999999998,0.070753338,0.19550020499999998,0.647803395,0.618716985,86.147625,0.25633398,0.0644626955,2.0192068,2.2729409,-0.011504200249999999,1.018460945,South Dakota ,SD ,State; counties
Mission,46.0,108.0,27605.0,42997.105500000005,21.0639245,0.143407415,0.16727292,0.00496568155,29615.357053682892,14301.44492196203,0.37420269500000003,0.420020815,0.45586346,0.00330143565,0.019132376,0.0018637636,0.0009962981500000001,0.285377385,0.01601478,0.0008581620350000001,0.8708059049999999,309.0,0.49972962,0.36875813,0.48889209499999997,0.442959725,0.507792625,54.299999,0.22488800450000002,0.75597408,4.2444423,4.0554601,-0.0134709755,1.3250217350000002,South Dakota ,SD ,State; counties
Mitchell,46.0,52.5,27006.0,59248.4475,19.982795250000002,0.1545115275,0.169850375,0.020105074525,52655.748461853975,19705.348535824567,0.1208221535,0.13625152000000001,0.1691185425,0.0038966171249999997,0.017183987825,0.002835907175,0.002317614275,0.9712165749999999,0.009745930122500001,0.002195657775,3.5697083750000003,474.0110625,0.18409873999999998,0.089282359,0.162360359,0.5031474524999999,0.635998115,83.5435985,0.15602965825,0.04216292225,15.101898975,14.816809124999999,-0.00331907115,8.329561199999999,South Dakota ,SD ,State; counties
Mobridge,46.0,75.0,26604.0,51159.377,15.959014,0.152343115,0.19339425999999998,0.00596980335,46416.07318867231,18365.280709819785,0.12679021000000001,0.162336745,0.18072686999999998,0.0028621035999999997,0.01040715915,0.0029553465,0.00076788955,0.9236369449999999,0.00422084285,0.001061948325,3.5963782999999996,527.49115,0.207728825,0.123306111,0.1740055325,0.63200927,0.58330664,85.18318550000001,,0.10109773849999999,4.836058549999999,5.4296070499999995,-0.014107939,2.11982805,South Dakota ,SD ,State; counties
Murdo,46.0,75.0,27604.0,54245.605,15.515315,0.17755857,0.15589887,0.0027881040999999996,39276.0,21202.0,0.09090909400000001,0.15758592,0.15105741,0.0029821075,0.012922465,,0.0025146689999999998,0.95641243,0.0033528919,,3.2899241000000004,577.0,0.23076923,0.10059172,0.22818792,0.7752380999999999,0.68443495,78.900002,,0.05666005599999999,1.0374578,1.2303053,-0.025502037,0.61463702,South Dakota ,SD ,State; counties
