INCIDENT_NO,INCIDENT_DATE,CASE_NO,CFS_NO,DISTRICT,INCIDENT_TYPE,INCIDENT_DESCRIPTION,INCIDENT_LOCATION_X,LATITUDE_X,LONGITUDE_X,SUBJECT_GENDER,SUBJECT_RACE,SUSPECT_AGE,OFFICER_GENDER,OFFICER_RACE,SNA_NEIGHBORHOOD,CPD_NEIGHBORHOOD,COMMUNITY_COUNCIL_NEIGHBORHOOD
9301,02/11/2018 12:35:00 AM,2018-234394,LCP180211000034,DISTRICT 1,9823,NONCOMPLIANT SUSPECT/ARRESTEE,2XX E LIBERTY,,,MALE,BLACK,JUVENILE,MALE,WHITE,N/A,N/A,N/A
9301,02/11/2018 12:35:00 AM,2018-234394,LCP180211000034,DISTRICT 1,9823,NONCOMPLIANT SUSPECT/ARRESTEE,2XX E LIBERTY,,,MALE,BLACK,JUVENILE,MALE,WHITE,N/A,N/A,N/A
9301,02/11/2018 12:35:00 AM,2018-234394,LCP180211000034,DISTRICT 1,9823,NONCOMPLIANT SUSPECT/ARRESTEE,2XX E LIBERTY,,,MALE,BLACK,JUVENILE,MALE,WHITE,N/A,N/A,N/A
-3592,03/27/2000 09:00:00 PM,20000281,P000871366,DISTRICT 2,9826,INJURY TO PRISONER,35XX EDWARDS,,,FEMALE,WHITE,UNKNOWN,MALE,BLACK,N/A,N/A,N/A
-3592,03/27/2000 09:00:00 PM,20000281,P000871366,DISTRICT 2,9826,INJURY TO PRISONER,35XX EDWARDS,,,FEMALE,WHITE,UNKNOWN,MALE,BLACK,N/A,N/A,N/A
-3755,05/27/2000 05:05:00 AM,20000448,P001480384,DISTRICT 4,9825,CHEMICAL IRRITANT,2XX HEARNE,,,MALE,BLACK,UNKNOWN,MALE,WHITE,N/A,N/A,N/A
-5137,06/17/2001 06:32:00 AM,20010557,P011680349,DISTRICT 1,9826,INJURY TO PRISONER,5XX E 12TH STREET,,,MALE,BLACK,UNKNOWN,MALE,TWO OR MORE,N/A,N/A,N/A
-515,03/07/1997 03:05:00 AM,9700156,P970660161,DISTRICT 5,9826,INJURY TO PRISONER,4XX BURNET WOODS,,,MALE,WHITE,UNKNOWN,MALE,WHITE,N/A,N/A,N/A
-515,03/07/1997 03:05:00 AM,9700156,P970660161,DISTRICT 5,9826,INJURY TO PRISONER,4XX BURNET WOODS,,,MALE,WHITE,UNKNOWN,MALE,WHITE,N/A,N/A,N/A
6417,04/27/2012 10:00:00 AM,2012-168604,LCP120427000443,DISTRICT 4,9826,INJURY TO PRISONER,9XX CURTIS AV,,,MALE,BLACK,ADULT,MALE,WHITE,N/A,N/A,N/A
