DISTRICT,INCLOCATION_X,LATITUDE_X,LONGITUDE_X,CPD_NEIGHBORHOOD,SNA_NEIGHBORHOOD,OID,RMS_NO,VICCOUNT,CITYSTATEZIP,RACE,SEX,AGE,TYPE,DATEOCCURRED,MONTHOCCURED,TIMEOCCURED,HROCCURED,DAYOCCURRED,RMSDUP,DATETIME,DSTFULL,ZIP,COMMUNITY_COUNCIL_NEIGHBORHOOD
3,25XX TALBOTT AV,39.132375690791,-84.5701454587444,SOUTH FAIRMOUNT,SOUTH FAIRMOUNT,713,30908466,1,,BLACK,MALE,40,NONFATAL,09/08/2009 12:00:00 AM,SEP,,N/A,TUE,30908466,09/08/2009 12:00:00 AM,DISTRICT 3,45211,SOUTH FAIRMOUNT - WESTWOOD
2,60XX PRENTICE ST,39.1592138398554,-84.3907549193815,MADISONVILLE,MADISONVILLE,1796,129009799,1,"CINC, OH 45227",BLACK,MALE,19,NONFATAL,04/17/2012 12:00:00 AM,APR,233000,23,TUE,129009799,04/17/2012 11:30:00 PM,DISTRICT 2,45227,MADISONVILLE
3,17XX ELMORE ST,39.1549789342239,-84.547753559533,SOUTH CUMMINSVILLE,SOUTH CUMMINSVILLE,2322,139019272,1,"SCHENECTADY, NY 12305",BLACK,MALE,49,FATAL,07/23/2013 12:00:00 AM,JUL,220500,22,TUE,139019272,07/23/2013 10:05:00 PM,DISTRICT 3,45223,SOUTH CUMMINSVILLE
1,16XX RACE ST,39.1132772550446,-84.5185481609813,OVER-THE-RHINE,OVER-THE-RHINE,546,10901820,3,,BLACK,MALE,33,NONFATAL,05/04/2009 12:00:00 AM,MAY,,N/A,MON,10901820,05/04/2009 12:00:00 AM,DISTRICT 1,45202,OTR
4,16XX SUMMIT RD,39.2028307849281,-84.4587084454448,ROSELAWN,ROSELAWN,1947,129025126,2,"CINC, OH 45237",BLACK,MALE,52,NONFATAL,09/01/2012 12:00:00 AM,SEP,225900,22,SAT,129025126,09/01/2012 10:59:00 PM,DISTRICT 4,45237,ROSELAWN
4,9XX DANA AV,39.1505264020505,-84.4810377933505,NORTH AVONDALE,AVONDALE,416,40809695,1,,BLACK,MALE,29,NONFATAL,12/30/2008 12:00:00 AM,DEC,,N/A,TUE,40809695,12/30/2008 12:00:00 AM,DISTRICT 4,45229,NORTH AVONDALE
5,59XX HAMILTON AV,39.1997121423557,-84.5456407241619,COLLEGE HILL,COLLEGE HILL,1057,51004607,3,"CINC, OH 45211",BLACK,MALE,40,NONFATAL,08/01/2010 12:00:00 AM,AUG,,N/A,SUN,51004607,08/01/2010 12:00:00 AM,DISTRICT 5,45224,COLLEGE HILL
1,XX E MCMICKEN AV,39.1142425433604,-84.5160783746755,OVER-THE-RHINE,OVER-THE-RHINE,3276,159029543,1,"CINCINNATI, OH 45202",BLACK,MALE,42,NONFATAL,10/28/2015 12:00:00 AM,OCT,234300,23,WED,159029543,10/28/2015 11:43:00 PM,DISTRICT 1,,OTR
3,26XX WESTWOOD NORTHERN BV,39.1512357206268,-84.5883020143244,WESTWOOD,WESTWOOD,3854,179009065,1,,BLACK,FEMALE,24,NONFATAL,03/18/2017 12:00:00 AM,MAR,224000,22,SAT,179009065,03/18/2017 10:40:00 PM,DISTRICT 3,,WESTWOOD
4,75XX VINE ST,39.1987397009749,-84.4749981340827,CARTHAGE,CARTHAGE,4427,189025791,1,,BLACK,MALE,51,NONFATAL,09/23/2018 12:00:00 AM,SEP,033000,3,SUN,189025791,09/23/2018 03:30:00 AM,DISTRICT 4,,CARTHAGE
