Position,Annual Salary,Label
Dir Athletics,552040.44,Athletics
Sr VP Academic Affairs and Provost,489600.0,Vice President
Head Coach Major Sports,424483.2,Coach
Interim SVP Health Affairs & Dean,385414.0,Vice President
Sr VP for Administration & Finance,371422.8,Vice President
Dean,364140.0,Dean
VP for Research,344892.6,Vice President
Dean,339586.56,Dean
VP Legal Affairs & General Counsel,332928.0,Vice President
Dean,326400.0,Dean
Vice Provost,320000.0,Provost
Dean,317231.22,Dean
Professor,313160.16,Professor
Professor,305741.16,Professor
Dean,305000.0,Dean
Sr Vice Provost,301716.0,Provost
Dean,298545.72,Dean
Professor,297527.88,Professor
Dir Academic Med,296505.0,Director Academic
Dean,295000.0,Dean
Dir Academic,294859.0,Director Academic
Professor,292276.08,Professor
Professor,290562.24,Professor
Dir Academic Med,290000.0,Director Academic
Dean,290000.0,Dean
Vice Provost & Dean,289009.44,Provost
VP for Finance,286110.0,Vice President
Vice Provost,285600.0,Provost
Professor,282769.08,Professor
Vice Provost,276020.28,Provost
Asst Coach Major Sports,275000.0,Coach
Sr Assoc Dean,273631.68,Dean
VP Info Tech & CIO,273625.2,Vice President
Dean,270000.0,Dean
Dean,265200.0,Dean
Professor,264195.24,Professor
Dean,260620.2,Dean
Vice Provost,260000.0,Provost
Vice Provost,260000.0,Provost
Professor,259453.92,Professor
Professor,258728.88,Professor
Assoc Dean,255000.0,Dean
Head Coach,250000.0,Coach
Asst Coach Major Sports,250000.0,Coach
Asst Coach Major Sports,250000.0,Coach
Head Coach Major Sports,250000.0,Coach
Professor - Visiting,250000.0,Professor
Asst Coach Major Sports,250000.0,Coach
Asst Coach Major Sports,250000.0,Coach
Dean,248959.44,Dean
Asst VP & Chief Risk Officer,248749.2,Vice President
Professor - Geo,246540.84,Professor
Sr Assoc Dean - COM,246498.96,Dean
Professor,245815.8,Professor
Sr Assoc Dean - COM,245000.0,Dean
Asst Coach Major Sports,245000.0,Coach
Professor,244849.32,Professor
Professor - Geo,244664.34,Professor
Professor,243524.28,Professor
Assoc Dean,241032.96,Dean
Professor,240473.64,Professor
Dir Academic Med,240000.0,Director Academic
VP Equity Inclusion & Community Impact,239292.0,Vice President
Professor,237789.96,Professor
Professor,237778.44,Professor
Professor,235537.44,Professor
Dean,234600.0,Dean
Professor,234535.44,Professor
Professor,233810.28,Professor
Professor,229389.36,Professor
Asst Dean - COM,229372.56,Dean
Vice Provost,225000.0,Provost
VP Student Affairs & Services,225000.0,Vice President
Assoc Professor,224813.16,Assoc Professor
Professor,224812.8,Professor
Asst Professor,223632.96,Asst Professor
Professor,223570.44,Professor
Assoc Dean,222921.72,Dean
Sr Assoc VP & Chief HR Officer,222853.68,Vice President
Interim Assoc Dean,222432.48,Dean
Professor,222117.12,Professor
Professor,220000.0,Professor
Professor - Geo,219000.0,Professor
Professor,217366.08,Professor
Assoc Professor,217194.72,Assoc Professor
Professor,215549.04,Professor
Professor,215321.16,Professor
Assoc Dean,214200.0,Dean
Asst Professor,211697.28,Asst Professor
Asst Professor,210571.68,Asst Professor
Asst Professor,209337.36,Asst Professor
VP Gov Rel & Univ Commun,207904.44,Vice President
Dir Academic Med,207590.04,Director Academic
Asst Professor,206045.04,Asst Professor
Professor - Geo,205700.0,Professor
Professor - Research,205194.6,Professor
Dir Academic Med,204140.0,Director Academic
Professor,203943.36,Professor
Assoc Dean,203465.16,Dean
Professor,202848.84,Professor
Professor,201781.44,Professor
Dean,201629.52,Dean
Asst Professor,201408.6,Asst Professor
Professor,200870.52,Professor
Professor,200760.84,Professor
Professor,200335.92,Professor
Assoc Professor,200210.4,Assoc Professor
Asst Coach Major Sports,200000.04,Coach
Dir Academic Med,200000.0,Director Academic
Professor - Geo,199700.0,Professor
Professor,199669.56,Professor
Professor,199662.6,Professor
Assoc Professor,199425.36,Assoc Professor
Assoc Dean,199102.92,Dean
Professor,198443.04,Professor
Professor,196905.48,Professor
Asst Coach Major Sports,195000.0,Coach
Professor,194561.28,Professor
Assoc Professor,193797.48,Assoc Professor
Professor,192752.4,Professor
Professor,192689.4,Professor
Professor,192574.44,Professor
Professor,191610.48,Professor
Professor - Geo,190962.0,Professor
Professor,190940.31,Professor
Asst Coach Major Sports,190000.0,Coach
Assoc Professor,189890.16,Assoc Professor
Sr Assoc VP Campus Design & Planning,189425.64,Vice President
Sr Assoc Dean,189296.4,Dean
Professor,188971.92,Professor
Dir Academic Med,188593.44,Director Academic
Professor,188369.52,Professor
Professor,187301.52,Professor
Professor,187269.6,Professor
Professor,187065.6,Professor
Professor,186954.36,Professor
Athletic Strength/Cond Coach,185000.0,Coach
Professor,184104.36,Professor
Assoc Dean,183600.0,Dean
Assoc Professor - Clin Geo,183333.08,Assoc Professor
Professor - Geo,183300.0,Professor
Asst Professor,183163.2,Asst Professor
Asst Professor - Geo,183000.0,Asst Professor
Professor,182680.2,Professor
Sr Assoc VP Campus Services,182070.0,Vice President
Asst Professor,181595.76,Asst Professor
Asst Professor,181595.76,Asst Professor
Asst Professor,181595.76,Asst Professor
Professor - Geo,181500.0,Professor
Professor - Geo,181500.0,Professor
Professor - Geo,181500.0,Professor
Sr Asst Dean,181387.08,Dean
Professor,180192.12,Professor
